"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Deve validar o cenário: Titular Falecido (CPF: 22222222222)","api","Mon Mar 23 18:04:58 UTC 2026","passed","Mon Mar 23 18:04:59 UTC 2026","Validação em Lote de Estados de CPF (Data-Driven)","tests/api/validacao-cpf-lote.spec.ts","",""
"","49","deve retornar 404 para CPF não mapeado no WireMock","api","Mon Mar 23 18:04:57 UTC 2026","passed","Mon Mar 23 18:04:57 UTC 2026","Integrações Governamentais","Testes de Contrato com Governo","",""
"","13","Passo 4: [DELETE] Deve cancelar a proposta","api","Mon Mar 23 18:04:57 UTC 2026","passed","Mon Mar 23 18:04:57 UTC 2026","CRUD - Ciclo de Vida da Proposta de Seguro","Fluxo Integrado de Negócio","",""
"","63","Passo 2: [GET] Deve consultar os detalhes da proposta criada","api","Mon Mar 23 18:04:57 UTC 2026","passed","Mon Mar 23 18:04:57 UTC 2026","CRUD - Ciclo de Vida da Proposta de Seguro","Fluxo Integrado de Negócio","",""
"","267","deve retornar contrato esperado para CPF mapeado","api","Mon Mar 23 18:04:57 UTC 2026","passed","Mon Mar 23 18:04:57 UTC 2026","Integrações Governamentais","Testes de Contrato com Governo","",""
"","14","Exceção: [GET] Deve tratar Erro 500 do servidor gracefully","api","Mon Mar 23 18:04:57 UTC 2026","passed","Mon Mar 23 18:04:57 UTC 2026","CRUD - Ciclo de Vida da Proposta de Seguro","Fluxo Integrado de Negócio","",""
"","20","Passo 3: [PATCH] Deve atualizar o status da proposta","api","Mon Mar 23 18:04:57 UTC 2026","passed","Mon Mar 23 18:04:57 UTC 2026","CRUD - Ciclo de Vida da Proposta de Seguro","Fluxo Integrado de Negócio","",""
"","12","Deve validar o cenário: Documento Cancelado (CPF: 44444444444)","api","Mon Mar 23 18:04:59 UTC 2026","passed","Mon Mar 23 18:04:59 UTC 2026","Validação em Lote de Estados de CPF (Data-Driven)","tests/api/validacao-cpf-lote.spec.ts","",""
"","1025","Deve sobreviver a uma instabilidade temporária (Erro 503) e passar na retentativa","api","Mon Mar 23 18:04:57 UTC 2026","passed","Mon Mar 23 18:04:58 UTC 2026","Resiliência e Self-Healing","Testes de Resiliência de Rede","",""
"","1920","Deve recuperar dinamicamente de uma quebra de contrato na API usando Azure OpenAI","api","Mon Mar 23 18:04:57 UTC 2026","passed","Mon Mar 23 18:04:59 UTC 2026","Generative QA - Self-Healing de Contratos","tests/api/ai-healing.spec.ts","",""
"","34","Passo 1: [POST] Deve criar uma nova proposta de seguro","api","Mon Mar 23 18:04:57 UTC 2026","passed","Mon Mar 23 18:04:57 UTC 2026","CRUD - Ciclo de Vida da Proposta de Seguro","Fluxo Integrado de Negócio","",""
"","67","deve acessar a aplicação frontend","e2e","Mon Mar 23 18:04:55 UTC 2026","skipped","Mon Mar 23 18:04:55 UTC 2026","Jornada do Usuário - Frontend","Testes de UI","",""
"","26","Deve processar o pagamento na 1ª vez e retornar o cache na 2ª tentativa (Duplicidade)","api","Mon Mar 23 18:04:57 UTC 2026","passed","Mon Mar 23 18:04:57 UTC 2026","Padrões de Arquitetura: Idempotência","tests/api/idempotencia.spec.ts","",""
"","12","Deve validar o cenário: Caminho Feliz (CPF: 12345678900)","api","Mon Mar 23 18:04:58 UTC 2026","passed","Mon Mar 23 18:04:58 UTC 2026","Validação em Lote de Estados de CPF (Data-Driven)","tests/api/validacao-cpf-lote.spec.ts","",""
"","72","Passo 2: [GET] Deve consultar os detalhes da proposta criada (Contrato Complexo)","api","Mon Feb 23 18:55:51 UTC 2026","passed","Mon Feb 23 18:55:51 UTC 2026","CRUD - Ciclo de Vida da Proposta de Seguro","Fluxo Integrado de Negócio","",""
"","12","Deve validar o cenário: Fraude Detectada (CPF: 33333333333)","api","Mon Mar 23 18:04:59 UTC 2026","passed","Mon Mar 23 18:04:59 UTC 2026","Validação em Lote de Estados de CPF (Data-Driven)","tests/api/validacao-cpf-lote.spec.ts","",""
"","11","Deve validar o cenário: Nome Sujo (Inadimplente) (CPF: 55555555555)","api","Mon Mar 23 18:04:59 UTC 2026","passed","Mon Mar 23 18:04:59 UTC 2026","Validação em Lote de Estados de CPF (Data-Driven)","tests/api/validacao-cpf-lote.spec.ts","",""
